S8C1	S8C39845
S7C2	S7C1494
S7C3	S7C40060
S7C4	S7C516
S4C5	S4C24630
S4C5	S4C14671
S4C5	S4C31846
S4C5	S4C25513
S4C5	S4C11376
S4C5	S4C20337
S4C5	S4C8985
S3C5	S3C27688
S9C6	S9C13931
S8C7	S8C42959
S5C8	S5C16815
S4C9	S4C33063
S8C10	S8C40607
S9C11	S9C12995
S8C12	S8C22371
S8C13	S8C7356
S4C14	S4C18659
S8C15	S8C26431
S8C16	S8C8882
S8C16	S8C7770
S8C16	S8C39733
S8C16	S8C47345
S8C16	S8C45924
S8C16	S8C19621
S8C16	S8C34011
S8C16	S8C7228
S8C16	S8C5676
S8C16	S8C22439
S8C16	S8C3911
S8C16	S8C33200
S8C16	S8C17085
S8C16	S8C35840
S8C16	S8C4042
S8C16	S8C14809
S8C16	S8C42656
S8C16	S8C3754
S8C16	S8C26023
S8C16	S8C34230
S8C16	S8C45690
S8C16	S8C6151
S8C16	S8C43193
S8C16	S8C34842
S8C16	S8C8477
S8C16	S8C30747
S8C16	S8C13112
S8C16	S8C37948
S8C16	S8C40991
S8C16	S8C29376
S8C16	S8C8972
S8C16	S8C39475
S8C16	S8C71
S8C16	S8C16306
S8C16	S8C16163
S8C16	S8C44986
S8C16	S8C47012
S8C16	S8C19410
S8C16	S8C30320
S8C16	S8C17968
S8C16	S8C7517
S8C16	S8C38943
S8C16	S8C19309
S8C16	S8C3332
S8C16	S8C43055
S8C16	S8C42890
S8C16	S8C27763
S8C16	S8C5577
S8C16	S8C2374
S8C16	S8C11282
S8C16	S8C2587
S8C16	S8C28067
S8C16	S8C37172
S8C16	S8C21486
S8C16	S8C35527
S8C16	S8C44032
S8C16	S8C35048
S8C16	S8C6814
S8C16	S8C6105
S8C16	S8C37730
S8C16	S8C7552
S8C16	S8C26968
S8C16	S8C605
S8C16	S8C14929
S8C16	S8C9360
S8C16	S8C120
S8C16	S8C38306
S8C16	S8C8946
S8C16	S8C20120
S8C16	S8C45703
S8C16	S8C40740
S8C16	S8C13396
S8C16	S8C36926
S8C16	S8C16101
S8C16	S8C11350
S8C16	S8C47438
S8C16	S8C12667
S8C16	S8C16234
S8C16	S8C35919
S8C16	S8C44370
S8C16	S8C32834
S8C16	S8C28338
S8C16	S8C10810
S8C16	S8C26934
S8C16	S8C18129
S8C16	S8C47686
S8C16	S8C14201
S8C16	S8C29583
S8C16	S8C45704
S8C16	S8C12985
S8C16	S8C36065
S8C16	S8C39000
S8C16	S8C11402
S8C16	S8C45772
S8C16	S8C14178
S8C16	S8C33701
S8C16	S8C16762
S8C16	S8C20157
S8C16	S8C35505
S8C16	S8C7250
S8C16	S8C47094
S8C16	S8C34069
