name	length	score	pvalue
S2C222	2241	0.855398821613246	0.0283015107426157
S2C257	4396	0.742568562905279	0.037593984962406
S2C391	2144	0.0209889652056634	0.826842587794475
S2C685	6651	0.884274034918351	0.0155226776618967
S2C795	2804	0.291699927351266	0.286522900306932
S2C821	2350	0.178285877195023	0.410053015506039
S2C944	2165	0.64588345821844	0.0926376210786463
S2C1023	2497	0.871444329724811	0.0239167696416471
S2C1137	2850	0.984463766367515	0.000956670785665883
S2C1165	2666	0.496000555736346	0.157691234503926
S2C1404	2537	0.873489483287184	0.0232789891178698
S2C1612	2689	0.906389675764914	0.0151871487224459
S2C1651	6028	0.979232038650759	0.00363812757700703
S2C1688	2207	0.432808475484418	0.189380954279109
S2C1846	14709	0.970334014761613	0.00521464952704342
S2C1949	2155	0.635926390309693	0.0963845816558377
S2C1963	2224	0.133877281500449	0.475983577151513
S2C2126	52877	0.67787859670516	0.0497210768857628
S2C2325	3715	0.996611182296025	0.000848896434634975
S2C2441	8622	0.708461685875397	0.0442638855202522
S2C3134	2011	0.693834747567281	0.0757762984812851
S2C3179	26289	0.832957339624204	0.0238903710890129
S2C3414	2367	0.390000599876566	0.213935504444533
S2C3430	2066	0.680578625217734	0.0803603459959342
S2C3576	2455	0.0599655008608539	0.651014469645633
S2C3578	97412	0.974753604375454	0.00424448217317487
S2C3585	13644	0.97782161465601	0.0037593984962406
S2C3846	3774	0.978951280509393	0.00363812757700703
S2C3941	2059	0.545563149771369	0.134412245386057
S2C4042	38569	0.442849004550492	0.105263157894737
S2C4123	18316	0.979511741585732	0.00363812757700703
S2C4193	10968	0.992709415771628	0.00194033470773708
S2C4211	6245	0.973639232602333	0.00448702401164201
S2C4436	2071	0.263012000036544	0.313469127436521
S2C4541	2414	0.918077132976809	0.0129947781719616
S2C4543	2387	0.831032122155676	0.0352772352214294
S2C4917	2212	0.921098307286019	0.01219755251724
S2C4966	3265	0.636130047026305	0.0586951249090468
S2C4980	2695	0.961334490204167	0.00414557340455216
S2C5035	2167	0.905256524607821	0.0155060389843345
S2C5080	4262	0.463054539366474	0.0994421537715256
S2C5139	2288	0.087449259512876	0.571570933152629
S2C5351	3598	0.203149054553848	0.221925782197429
S2C5421	6204	0.115902208464686	0.310453553237934
S2C5576	2383	0.690487442628147	0.077211304659784
S2C5603	2833	0.85846542487381	0.0275840076533663
S2C5690	2198	0.443536714783036	0.183521345716905
S2C5784	6709	0.888837173804812	0.0147950521464953
S2C5828	3944	0.862934620809668	0.0191608052389037
S2C5872	19150	0.989155372218835	0.00242541838467136
S2C5930	2730	0.826123373289563	0.0362737672898314
S2C6061	3507	0.850778562368335	0.0211011399466408
S2C6728	2712	0.975389345987871	0.00195320285406784
S2C6767	2662	0.11103028707769	0.51819667556902
S2C7026	2297	0.77975211779595	0.0498266034200981
S2C7041	4471	0.988624753667811	0.00254668930390492
S2C7586	2678	0.838369179635396	0.0332841710846255
S2C7622	2623	0.994887946633308	7.97225654721569e-05
S2C7976	2883	0.0884815272847261	0.568700920795631
S2C8256	2007	0.0945238797817001	0.554510304141587
S2C8388	2930	0.967807985880601	0.00310918005341412
S2C8518	2259	0.647287030215266	0.0922390082512855
S2C8637	2034	0.833201260922335	0.0346793159803883
S2C8753	2191	0.188708494843837	0.395463786024634
S2C8765	2184	0.189392700079484	0.394546976521704
S2C9292	4252	0.804347574284416	0.0281348532621877
S2C9541	2220	0.414356766088419	0.199904332921433
S2C9581	2692	0.822424965570993	0.0372702993582333
S2C9834	9046	0.838034773186938	0.023284016492845
S2C9905	6542	0.987812667267656	0.00278923114237206
S2C9906	3195	0.951870508312821	0.00691244239631336
S2C10181	2024	0.888783036072093	0.0194523059752063
S2C10434	2701	0.394412265251352	0.211543827480368
S2C10525	4016	0.649363259015319	0.0559058937666747
S2C10531	3181	0.778910994581104	0.0321367935968955
S2C10653	2915	0.752914527839939	0.0583967792083549
