name	prediction	score
S2C222	Phage	0.93
S2C257	Bacteria	0.26
S2C391	Phage	0.54
S2C685	Phage	0.76
S2C795	Phage	0.93
S2C821	Bacteria	0.4
S2C944	Phage	0.66
S2C1023	Phage	0.88
S2C1137	Phage	0.9
S2C1165	Bacteria	0.47
S2C1404	Phage	0.96
S2C1612	Phage	0.89
S2C1651	Phage	0.93
S2C1688	Phage	0.68
S2C1846	Phage	0.92
S2C1949	Phage	0.73
S2C1963	Phage	0.51
S2C2126	Phage	0.68
S2C2325	Phage	0.96
S2C2441	Bacteria	0.26
S2C3134	Phage	0.64
S2C3179	Phage	0.77
S2C3414	Phage	0.71
S2C3430	Phage	0.89
S2C3576	Bacteria	0.37
S2C3578	Phage	0.95
S2C3585	Phage	0.92
S2C3846	Phage	0.96
S2C3941	Phage	0.56
S2C4042	Bacteria	0.34
S2C4123	Phage	0.92
S2C4193	Phage	0.93
S2C4211	Phage	0.9
S2C4436	Bacteria	0.16
S2C4541	Phage	0.97
S2C4543	Phage	0.94
S2C4917	Phage	0.97
S2C4966	Phage	0.87
S2C4980	Phage	0.87
S2C5035	Phage	0.88
S2C5080	Bacteria	0.15
S2C5139	Bacteria	0.32
S2C5351	Bacteria	0.48
S2C5421	Bacteria	0.37
S2C5576	Phage	0.86
S2C5603	Phage	0.78
S2C5690	Bacteria	0.45
S2C5784	Phage	0.91
S2C5828	Bacteria	0.5
S2C5872	Phage	0.95
S2C5930	Phage	0.96
S2C6061	Bacteria	0.44
S2C6728	Phage	0.98
S2C6767	Bacteria	0.46
S2C7026	Phage	0.92
S2C7041	Phage	0.91
S2C7586	Phage	0.85
S2C7622	Phage	0.95
S2C7976	Bacteria	0.32
S2C8256	Bacteria	0.05
S2C8388	Phage	0.96
S2C8518	Bacteria	0.3
S2C8637	Bacteria	0.3
S2C8753	Bacteria	0.39
S2C8765	Bacteria	0.18
S2C9292	Phage	0.92
S2C9541	Bacteria	0.32
S2C9581	Phage	0.86
S2C9834	Bacteria	0.4
S2C9905	Phage	0.87
S2C9906	Phage	0.96
S2C10181	Phage	0.67
S2C10434	Phage	0.92
S2C10525	Phage	0.91
S2C10531	Bacteria	0.39
S2C10653	Phage	0.77
S2C10687	Bacteria	0.13
S2C10888	Phage	0.89
S2C11038	Phage	0.93
S2C11202	Phage	0.66
S2C11397	Bacteria	0.36
S2C11479	Bacteria	0.36
S2C11523	Phage	0.92
S2C11560	Phage	0.98
S2C11711	Phage	0.89
S2C11862	Phage	0.97
S2C12210	Bacteria	0.06
S2C12409	Phage	0.83
S2C12743	Phage	0.95
S2C12950	Phage	0.69
