seqname	dsDNAphage	NCLDV	RNA	ssDNA	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
S2C3578||full	0.993	0.567	0.040	0.273	0.607	0.993	dsDNAphage	97167	24	71.800	0.000
S2C4541||full	0.587	0.747	0.185	0.980	0.580	0.980	ssDNA	2376	1	66.700	0.000
S2C10888||full	0.693	0.900	0.560	0.933	0.967	0.967	lavidaviridae	2589	0	50.000	0.000
S2C15658||full	0.453	0.913	0.095	0.967	0.687	0.967	ssDNA	2458	0	66.700	0.000
S2C20917||full	1.000	0.520	0.190	0.980	0.407	1.000	dsDNAphage	4481	3	80.000	0.000
S2C21864||full	0.993	0.807	0.090	0.227	0.840	0.993	dsDNAphage	97338	2	91.400	0.000
S2C28390||full	0.993	0.613	0.105	0.293	0.607	0.993	dsDNAphage	96800	18	59.100	0.000
S2C38571||full	0.993	0.313	0.155	1.000	0.487	1.000	ssDNA	4709	1	83.300	0.000
S2C38822||full	0.993	0.953	0.175	0.507	0.927	0.993	dsDNAphage	97369	2	69.900	0.000
S2C42339||full	0.993	0.613	0.105	0.293	0.607	0.993	dsDNAphage	96820	18	59.100	0.000
S2C44242||full	1.000	0.560	0.090	0.353	0.760	1.000	dsDNAphage	97486	19	76.700	0.000
S2C45071||full	1.000	0.627	0.100	0.413	0.793	1.000	dsDNAphage	97424	17	70.700	0.000
S2C50345||full	1.000	0.747	0.090	0.320	0.860	1.000	dsDNAphage	97435	9	85.100	0.000
S2C52968||full	0.993	0.327	0.455	0.947	0.960	0.993	dsDNAphage	4617	2	50.000	0.000
S5C3186||full	1.000	0.733	0.260	0.920	0.340	1.000	dsDNAphage	4509	3	71.400	0.000
S5C3307||full	1.000	0.907	0.090	0.253	0.833	1.000	dsDNAphage	97335	2	93.500	0.000
S5C15075||full	1.000	0.947	0.160	0.513	0.933	1.000	dsDNAphage	97343	2	71.100	0.000
S5C23523||full	1.000	0.887	0.080	0.300	0.853	1.000	dsDNAphage	97580	2	95.600	0.000
S5C24208||full	1.000	0.893	0.090	0.273	0.867	1.000	dsDNAphage	97556	2	93.500	0.000
S5C25766||full	1.000	0.807	0.090	0.307	0.847	1.000	dsDNAphage	97429	2	95.700	0.000
S5C30832||full	0.987	0.513	0.180	0.900	0.367	0.987	dsDNAphage	4260	4	66.700	0.000
S5C37167||full	1.000	0.120	0.015	0.060	0.060	1.000	dsDNAphage	41129	10	71.400	1.600
S5C38018||full	0.993	0.313	0.155	1.000	0.487	1.000	ssDNA	4709	1	83.300	0.000
S7C1280||full	0.827	0.500	0.225	0.713	0.193	0.827	dsDNAphage	3424	0	33.300	0.000
S7C2805||full	1.000	0.580	0.050	0.380	0.780	1.000	dsDNAphage	97004	13	73.700	0.000
S7C5946||full	0.513	0.827	0.265	0.987	0.987	0.987	ssDNA	2529	1	66.700	0.000
S7C13310||full	1.000	0.887	0.080	0.300	0.853	1.000	dsDNAphage	97580	2	95.600	0.000
S7C16684||full	1.000	0.853	0.090	0.260	0.727	1.000	dsDNAphage	97312	9	87.900	0.000
S7C18945||full	1.000	0.820	0.090	0.260	0.867	1.000	dsDNAphage	97539	2	92.600	0.000
S7C19541||full	0.993	0.327	0.455	0.947	0.960	0.993	dsDNAphage	4617	2	50.000	0.000
S7C25391||full	0.993	0.593	0.045	0.360	0.773	0.993	dsDNAphage	97462	14	70.900	0.000
S7C26001||full	1.000	0.940	0.165	0.433	0.920	1.000	dsDNAphage	96953	13	64.800	0.000
S7C32660||full	1.000	0.600	0.055	0.333	0.773	1.000	dsDNAphage	97323	13	71.100	0.000
S7C33487||full	1.000	0.653	0.070	0.367	0.747	1.000	dsDNAphage	97486	17	67.700	0.000
S7C36911||full	0.987	0.980	0.135	0.693	0.227	0.987	dsDNAphage	5161	5	62.500	0.000
S4C288||full	0.993	0.393	0.025	0.247	0.587	0.993	dsDNAphage	97471	4	85.400	1.000
S4C4942||full	0.587	0.747	0.185	0.980	0.580	0.980	ssDNA	2376	1	66.700	0.000
S4C5816||full	1.000	0.933	0.115	0.493	0.907	1.000	dsDNAphage	97310	2	72.100	0.000
S4C5872||full	1.000	0.913	0.085	0.253	0.833	1.000	dsDNAphage	97538	2	91.700	0.000
S4C24041||full	1.000	0.880	0.080	0.280	0.840	1.000	dsDNAphage	97384	2	95.700	0.000
S4C26024||full	1.000	0.260	0.110	0.987	0.580	1.000	dsDNAphage	4606	4	80.000	0.000
S4C27562||full	0.993	0.833	0.090	0.227	0.847	0.993	dsDNAphage	97585	2	92.500	0.000
S4C28449||full	1.000	0.900	0.150	0.953	0.480	1.000	dsDNAphage	5659	3	100.000	0.000
S4C29488||full	1.000	0.593	0.045	0.320	0.773	1.000	dsDNAphage	97309	17	72.600	0.000
S4C30676||full	0.993	0.787	0.140	0.867	0.440	0.993	dsDNAphage	5416	5	83.300	0.000
S3C1600||full	1.000	0.493	0.130	0.980	0.400	1.000	dsDNAphage	4503	3	80.000	0.000
S3C15141||full	1.000	0.633	0.055	0.353	0.800	1.000	dsDNAphage	97399	20	70.700	0.000
S3C26737||full	1.000	0.627	0.285	0.713	0.273	1.000	dsDNAphage	5682	4	50.000	0.000
S3C38370||full	1.000	0.647	0.045	0.300	0.600	1.000	dsDNAphage	96994	25	65.800	0.000
S6C16272||full	1.000	0.800	0.075	0.300	0.847	1.000	dsDNAphage	97499	2	96.600	0.000
S6C16376||full	1.000	0.627	0.285	0.713	0.273	1.000	dsDNAphage	5682	4	50.000	0.000
S6C18313||full	0.993	0.953	0.175	0.507	0.927	0.993	dsDNAphage	97369	2	69.900	0.000
S6C25067||full	0.987	0.187	0.010	0.000	0.280	0.987	dsDNAphage	39877	5	22.400	2.000
